companyInternationalName,companyIdentifier,primaryIndustryType,primaryIndustryCode,entityLegalForm,largeFirm,primaryCountry,primaryStateProvince,recommendedModel,financialStatementDate,currency,units,statementType,regulatoryFilingType,auditQuality,reportingPeriod,cashAndMarketableSecurities,totalAccountsReceivable,totalInventory,totalCurrentAssets,totalAccumulatedDepreciation,totalFixedAssets,totalIntangibleAssets,totalAssets,notesPayable,debtCurrentMaturities,shortTermDebt,totalAccountsPayable,totalCurrentLiabilities,totalLongTermDebt,totalNonCurrentLiabilities,totalProvisions,totalLiabilities,retainedEarnings,netWorth,netSales,totalCostOfGoodsSold,grossIncome,totalWageExpense,totalAmortizationAndDepreciation,totalOperatingExpense,totalOperatingProfit,financeCosts,profitBeforeTaxesAndExtraordinaryExpenses,currentIncomeTaxExpense,totalExtraordinaryItems,netIncome,ebitda
AUDI WILSONVILLE  36814,T001T36814,NAICS,4411,,,USA,OR,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,282.217,,6637.94,,,,,37437.418,,,,,9625.538,,,,,11729.165,,75326.212,,,,256.22,,-2873.445,190.482,,,,754.657,
AUDI WILSONVILLE  36814,T001T36814,NAICS,4411,,,USA,OR,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,86425.386,,,,,,-1526.114,,,,,,
HERRIN GEAR INFINITI  23803,T001T23803,NAICS,4411,,,USA,MS,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,731.549,,10121.195,,,,,23704.394,,,,,10077.489,,,,,8875.984,,50518.66,,,,123.065,,285.733,44.693,,,,2117.291,
HERRIN GEAR INFINITI  23803,T001T23803,NAICS,4411,,,USA,MS,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,43503.82,,,,,,-404.018,,,,,,
FREMONT TOYOTA  49029,T001T49029,NAICS,4411,,,USA,WY,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,882.07,,2816.636,,,,,7755.794,,,,,2451.101,,,,,4665.504,,26367.793,,,,43.661,,208.115,41.692,,,,751.656,
FREMONT TOYOTA  49029,T001T49029,NAICS,4411,,,USA,WY,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,28697.648,,,,,,447.756,,,,,,
HERITAGE FORD  44996,T001T44996,NAICS,4411,,,USA,VT,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,8333.517,,9806.108,,,,,23950.852,,,,,10826.249,,,,,6906.114,,68264.876,,,,643.034,,25.857,200.244,,,,945.988,
HERITAGE FORD  44996,T001T44996,NAICS,4411,,,USA,VT,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,77091.634,,,,,,806.087,,,,,,
UMANSKY CH DG JP RM CHARLOTTESVILLE  45903,T001T45903,NAICS,4411,,,USA,VA,UDS 4.0,2023-02-28,USD,Thousands,Consolidated,US GAAP,Audited,Annual,656.347,,2031.949,,,,,4283.276,,,,,1984.526,,,,,0.002,,19603.338,,,,38.389,,-343.476,10.865,,,,265.81,
UMANSKY CH DG JP RM CHARLOTTESVILLE  45903,T001T45903,NAICS,4411,,,USA,VA,UDS 4.0,2022-02-28,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,22658.83,,,,,,116.861,,,,,,
MOSES TOYOTA OF MORGANTOWN  47036  MOSES MITSUBISHI  47500,T001T47036,NAICS,4411,,,USA,WV,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,542.629,,7296.898,,,,,19841.164,,,,,7386.961,,,,,-97.792,,80799.652,,,,331.088,,-197.124,272.212,,,,2394.22,
ACURA OF THE DESERT  54999,T001T54999,NAICS,4411,,,USA,CA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,55.126,,2912.93,,,,,4950.887,,,,,3096.687,,,,,3735.145,,19745.015,,,,108.394,,-150.195,66.705,,,,569.275,
ACURA OF THE DESERT  54999,T001T54999,NAICS,4411,,,USA,CA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,19788.934,,,,,,-241.252,,,,,,
CHEVROLET OF WAYZATA  22931,T001T22931,NAICS,4411,,,USA,MN,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1291.631,,8521.695,,,,,19505.363,,,,,7415.766,,,,,0.0,,69667.154,,,,322.1,,688.614,120.804,,,,989.761,
CHEVROLET OF WAYZATA  22931,T001T22931,NAICS,4411,,,USA,MN,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,72480.61,,,,,,2478.372,,,,,,
TOYOTA OF ASHLAND  16065,T001T16065,NAICS,4411,,,USA,KY,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1496.098,,3499.73,,,,,6819.007,,,,,2045.103,,,,,7901.192,,44565.521,,,,112.38,,1455.818,111.73,,,,2374.464,
TOYOTA OF ASHLAND  16065,T001T16065,NAICS,4411,,,USA,KY,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,43807.239,,,,,,2124.477,,,,,,
